setting,repr,balanced_train,macro_f1,weighted_f1,precision_negative,recall_negative,f1_negative,support_negative,precision_neutral,recall_neutral,f1_neutral,support_neutral,precision_positive,recall_positive,f1_positive,support_positive
train50_bow_unbal_testAllAgree20,bow,False,0.8131251385727088,0.86953380944441,0.7288135593220338,0.7166666666666667,0.7226890756302521,60,0.9350180505415162,0.9418181818181818,0.9384057971014492,275,0.7818181818181819,0.7747747747747747,0.7782805429864253,111
train50_bow_bal_testAllAgree20,bow,True,0.7404545763633891,0.7997256885173618,0.5434782608695652,0.8333333333333334,0.6578947368421053,60,0.9377593360995851,0.8218181818181818,0.875968992248062,275,0.6814159292035398,0.6936936936936937,0.6875,111
train50_tfidf_unbal_testAllAgree20,tfidf,False,0.8044243535988819,0.866395416748926,0.782608695652174,0.6,0.6792452830188679,60,0.893687707641196,0.9781818181818182,0.9340277777777778,275,0.8484848484848485,0.7567567567567568,0.8,111
train50_tfidf_bal_testAllAgree20,tfidf,True,0.7306674856012974,0.7889730413320145,0.5192307692307693,0.9,0.6585365853658537,60,0.956140350877193,0.7927272727272727,0.8667992047713717,275,0.6578947368421053,0.6756756756756757,0.6666666666666666,111
train66_bow_unbal_testAllAgree20,bow,False,0.806113001062375,0.8597927728189866,0.7413793103448276,0.7166666666666667,0.7288135593220338,60,0.9181494661921709,0.9381818181818182,0.9280575539568345,275,0.7757009345794392,0.7477477477477478,0.7614678899082569,111
train66_bow_bal_testAllAgree20,bow,True,0.7448513449615431,0.7966274228981919,0.5652173913043478,0.8666666666666667,0.6842105263157895,60,0.956140350877193,0.7927272727272727,0.8667992047713717,275,0.6428571428571429,0.7297297297297297,0.6835443037974683,111
train66_tfidf_unbal_testAllAgree20,tfidf,False,0.7847171827124658,0.8542311746514196,0.75,0.55,0.6346153846153846,60,0.8870431893687708,0.9709090909090909,0.9270833333333334,275,0.8316831683168316,0.7567567567567568,0.7924528301886793,111
train66_tfidf_bal_testAllAgree20,tfidf,True,0.7479598929268182,0.7994241266225622,0.5684210526315789,0.9,0.6967741935483871,60,0.9688888888888889,0.7927272727272727,0.872,275,0.6349206349206349,0.7207207207207207,0.6751054852320675,111
train75_bow_unbal_testAllAgree20,bow,False,0.8275186002132592,0.8745118135340847,0.8,0.7333333333333333,0.7652173913043478,60,0.9163763066202091,0.9563636363636364,0.9359430604982206,275,0.8076923076923077,0.7567567567567568,0.7813953488372093,111
train75_bow_bal_testAllAgree20,bow,True,0.7814535143651807,0.8384995212405296,0.6233766233766234,0.8,0.7007299270072993,60,0.9453125,0.88,0.911487758945386,275,0.7256637168141593,0.7387387387387387,0.7321428571428571,111
train75_tfidf_unbal_testAllAgree20,tfidf,False,0.7960605490481024,0.8579225293953266,0.813953488372093,0.5833333333333334,0.6796116504854369,60,0.8770226537216829,0.9854545454545455,0.928082191780822,275,0.851063829787234,0.7207207207207207,0.7804878048780488,111
train75_tfidf_bal_testAllAgree20,tfidf,True,0.7680000339063507,0.8220930359852814,0.6071428571428571,0.85,0.7083333333333334,60,0.9473684210526315,0.850909090909091,0.896551724137931,275,0.6869565217391305,0.7117117117117117,0.6991150442477876,111
trainCOMBINED_bow_unbal_testAllAgree20,bow,False,0.8131251385727088,0.86953380944441,0.7288135593220338,0.7166666666666667,0.7226890756302521,60,0.9350180505415162,0.9418181818181818,0.9384057971014492,275,0.7818181818181819,0.7747747747747747,0.7782805429864253,111
trainCOMBINED_bow_bal_testAllAgree20,bow,True,0.7503100503677684,0.8036660806063484,0.5578947368421052,0.8833333333333333,0.6838709677419355,60,0.9649122807017544,0.8,0.8747514910536779,275,0.6585365853658537,0.7297297297297297,0.6923076923076923,111
trainCOMBINED_tfidf_unbal_testAllAgree20,tfidf,False,0.8044243535988819,0.866395416748926,0.782608695652174,0.6,0.6792452830188679,60,0.893687707641196,0.9781818181818182,0.9340277777777778,275,0.8484848484848485,0.7567567567567568,0.8,111
trainCOMBINED_tfidf_bal_testAllAgree20,tfidf,True,0.7097404143843772,0.7743691910416424,0.4909090909090909,0.9,0.6352941176470588,60,0.9726027397260274,0.7745454545454545,0.8623481781376519,275,0.6153846153846154,0.6486486486486487,0.631578947368421,111
